,sentence,label
1110120,I wanted to go to the Cyndi Lauper concert in Munich... but now it's canceled ,0
745663,Ceremony in 20 mins ,1
1940,"Has blanked miquita oliver, nick grimshaw and the jonas brothers! Great day so far ",1
13500,True blood season 2 ,1
1069752,@Alexxan hahaha. tweetspam?  could be worse!,1
1275661,"@Akula Yup. It's live at 11am your time on Thursday. Speaking of, I'll be on campus Monday and Tuesday again. No where near you though. ",0
356724,@Shylita damn... I wish I had some $! broke like a joke&lt;---- not funny! ,0
1339588,"@reba wow 8 different looks , Reba you are very busy this days , but you always have time for fun that's nice ",1
410775,Horrible headache to deal with now! N idk if i'ma see my corey this weekend ,0
1090268,time to put on rubber boots and do chores. Humm. Irrigation boots and shorts; always in fashion here. ,1
540101,"@jeaneties yeah, I really am a Loner, I even walk alone these days ",0
49618,Not looking forward to today ,0
1040736,is sooo sick!  And going in for surgery on thursday,0
1413106,@x_charlotteee you said its too heavy for me to do that  and i said  ... lmaooo,0
168628,@mileycyrus please come to denmark soon!  &lt;33,1
774924,"I didnt use my time wisely. SOJU, MOBTV. EATING. PROCRASTINATING. ",0
1564255,So sick! Stupid vacation  fever swollen throat FML,0
739257,going out....can't wait for next week. ,1
83400,is SAD...  ,0
569861,I really hate iTunes right now ,0
1286580,ughhh i need to lose at least 15 pounds in less than 3 months  fml,0
1342405,"I'm on a super high right now!! cheer up everybody, after all....doot da doo life's good! priority @mileycyrus tickets BO'YEAH  xoxo",1
887096,@gsik if u figure it out please tell me. I'm struggling with mtnl too ,0
601411,Completely out of sorts right now. This is the precise reason I avoid even 15 minute naps during the day. Blech. ,0
1116107,BOm dia people ,1
385902,@officialTila We can play dress up and go shopping and I can design you hot clothes!! ,1
1033358,@LindsayLaird I am lost. Please help me find a good home. ,0
450940,@zaigalib that is an incomplete statement ,1
1394773,My boss took my position at the register. Now I have to limp around. Pooface. ,0
637711,@circasurvive watched how it ends online and apparently there were permit issues?? update us please! ,0
746788,is in floww-reee-duhhh  sarasota/tampa bay area with the loves.,1
1474451,we're putting up the trampoline  The snow has finally melted enough in the front yard.,1
206856,"@TheBestDertEver which also, btw, worked with the konami code ",1
321029,Fine time for my computer to freeze ,0
1589952,Just woke up... Missing her pimp daddy  Thinking about what I want to do today... hmmmm,0
880707,"for the past week, when i woke up in the morninq, i didnt even bother lookinq out the window cuz i knew RAIN was the verdict ",0
1564858,mythbusters just told me that Point Break is not real! ,0
1321453,Awake... Wondering... What am I doing? Seriously... It's like I don't have a heart anymore... ,0
547510,"@shilkytouch the little I saw was pretty good...but alas, been busy all day so have missed much ",0
104258,GO FIRE!!!!! Soccer game with Alex!!!!   http://mypict.me/2KCs,1
1297682,"@erinmorrrissey Glad you r doin well! Me 2! Take care Erin and remember, irish eyes are smilin!!!   ",1
1234566,MY PHONE IS DEAD!!!  guess i'm getting that blackberry sooner than I thought...,0
855267,Only 1 person noticed I wore my s'moovs shirt on today.  That means the pop culture phenomena is fading ,0
337196,i feel sick  &amp; i just turned on my laptop ill be fixing my myspace page!,0
249093,@Tremore why not share with the world your technological discovery? ,0
843119,Txting friends.....my day is going so good so far       ,1
425175,@jordanknight Morning! Where are you going? Leaving us sooo soon! ,0
1088779,mummy just said that I'm FAT....again.... sob ... ,0
889771,guys are more romantic than girls....end of story ,1
3922,has very low vitamin D ,0
938527,@LTLline:hey johnta can say whatever he wants i'm a true lifer  and i'm ok with him speaking his mind ,1
880386,"@JonathanRKnight Even those of us who have been 2 shows already would still be sad.don't know what pple sd,but ur post sounds kinda mean ",0
806316,I forgot my sailor uniform and lost my wallet I can't cut a break ,0
1190521,"Soooo, got stood up again by my bff  and I really don't understand why I don't care anymore...",0
674746,"hi all, had tea with catherine - off to clean my bathrooms now ",1
973945,@KrispeeKlean LOL Cant  ... i was there last weekend lol...,0
271316,@tomfelton http://twitpic.com/6r47s - awww so cute!!! she's rose weasley ,1
227734,is sooo tired and too busy to tweet  im glad the weekend is here... yay 4 day-weekend ,0
163602,Getting up.  i guess.  jesusismyfriend,0
493088,I think I'm sunburned ,0
1469993,@Jonasbrothers Nick!!! You kno where your supposed to be right now  Gooooo!,1
22994,Has missed country file  its what the cool people watch.,0
373632,@memith Which cat? ,1
960624,"@ZRHERO gaaah, so many reasons!  x",1
1173751,"@alanjlee Don't let that fool you, she can be a little bitch. ",1
30302,@ownedbyacat Just back to england for the week to work sadly ,0
694074,thx @tunedtochords 4 using ,1
1270800,@DatAtlantaChick  what's so bad about it?? Do you need a cyber hug! lol  It's yours free of charge lol ,1
1252666,ok twittz...hunny boo's safe @ home in his bed...now I'm finna be hittin MY bed! My head hurts...pray fa me y'all!   Goodnite Twittland!,0
1182442,Just arrived home from hols. Tweets have overloaded so if I missed anything sorry. Back to grey cold Manchester ,0
1048801,:-/   :-?=my mood sequence today.,1
1259056,enjoyed riding today with HYMS even if someone termed it an ego inflator lesson ,0
221938,No soccer!  Storm just had to come at the perfect time ,0
1401365,@katsketch that she puts me before herself ,1
355949,"Can't believe my dog, Riley is 1 year old... he's growing ",0
241292,"ballet is perfetic , just did it at civc and it was disgraceful! ",0
958771,@peeeves real one doesn't chat with US!hahaha. it's ok. ,1
1088702,heey i'm not crazy! it was just a theory :B ,1
1537665,Does anyone else re-record their outgoing voicemail greeting over and over until it's right?  It took me about 23 tries to get it right! ,1
330085,@kbodnar32 sorry I missed it!  Had a hectic weekend myself but I do look forward to the NC Wine videos   Have a GREAT week!,1
1033054,Zak didn't like Princess Protection Program ,0
1433343,Writing an essay on sound for a science assessment ,0
455605,we might go to Malta next summer  I'm very excited very far in advance. I'll od on pastizzis and mix kinnie with my liquor. hah.,1
1553735,there is only one man in my mind ,1
655439,@delaneyg84 it's so sad that we know there are gonna be tons of fabricated stories about emilie and rob ,0
916392,"Here I am again, feeling like I don't wanna do this crap ",0
496835,My computer just died on me! WTF?!? I haven't even updated my ipod yet ,0
85142,"back from Copenhagen, without luggage ",0
81739,@dontgetcaught  Fantastic! It's so cool!  THanks for the coaching  ,1
425315,"Trying to get comfortable but in a lot of pain, can't really sit can only lie still or stand. Just another thing to add to the list ",0
615151,need to find more crap to sell on eBay because I need money and no one is hiring... ,0
1052851,just got my nails painted- in bright yellow  ,1
746114,@ddlovato Heeey Demi  PLEASE follow me! I'm a big fan of you! I love you so much!,1
1589086,Ugh i have to take my choir final now ,0
1470403,Needs to find people to follow me!  Follow me and I will follow you!,0
1583242,@ablizno  x infinity,0
438596,"@MrElliott there were lawn chairs in the middle of a 2-lane fwy; when i swerved to avoid them, i lost control of my car. it's totaled. ",0
1345602,@beemouse Or that person has an infant. ,1
511931,@ILuVMiLeYCyRuS7 haha lucky i get out june 10th. omg knotts is funnn lol i go there alot ,1
647989,Alright people going to #xxxsalvation someone better record aclip for that &quot;Mad World&quot; Remix by Adam Lambert! I'm dying to hear it!!! ,1
362195,I'm trying 2 smile but Wed seems like 4ever when ur waitin on a diagnosis ,0
584382,"@kezzi21 Yeah I have a lot of work to get through so ill be online most of the day, thinking of working out of some cafe later too ",1
684498,"@kphalan I know. Last night, I slept until 8pm (like 11 hours), so today I'm a machine. Later I'm sending you the Preseli Venture pics ",1
1052742,I would like to move that all presenters load all power points on a jump drive that is giving out instead of these 'notebooks'  #bigd09,1
711647,"Got my last class, then nipping into town to exchange a top ",1
108114,Made it all the way to Vegas with no traffic or construction until 6 miles from our hotel ,0
756289,Preparing for another day of back-to-back-to-back interviews ,1
1271556,@MrAbercrombie Budget from now! Hope she's done well...make sure you let me know ,1
340447,Sitting in the airport waiting for my flight.. i hate leaving ,0
416481,@3drik n im tryna go hoop.....wish i had a boyfriend who would buy me a basketball... ,0
1528110,Budget: A method for going broke methodically.    #1liners,1
1585922,life goes on!! umm..I shld actually apologize for spreadin such negative thoughts...jst random stuff I tweeted.. ,1
1026105,Is at nofx but not into it. Something up with her and this has brought me down ,0
908665,@IHospitalitySam Is the letter of the day &quot;W&quot;? lol...Thanks for all of the kind words! ,1
196790,economicsss project  its too early for this.,0
1455441,@LalaLov3 Prom is fun but if it doesn't go perfect it doesn't really matter too much down the long run.Relax and a solution will come ,1
1579132,watching a movie and snuggling in bed. i don't feel good ,0
1395415,@christay0102 Ah hi o hi ho....tis for work! Two days just north of France.  Still no breakkie on the train tho ,0
437510,"I love the sun  Been sitting in the garden with my cats. Cancer cat is becoming more unsteady on her feet, still purring and happy though",1
773908,Tired. Too much stuff was done and said. Can't hold this much information  haha,0
210718,@MomaMiaCL well now you do.  LOL thought i would tell u guys... ,1
478871,@LyndseyAmanda not fair!!!!!!! I wanna go.... Don't worry I'll be at work!!!!!!! ,0
1342621,"starting to become a fatty will be at Nate's semiar Sunday, letme see ifI remember how to do fma ",1
889255,"@DaydreamLily hey there! i got tumblr too, would you like to follow me? papertrash.tumblr.com thankyou so much ",1
82516,Your my Wonder wall... ,0
1572728,Hoping to be the drummer in The Micheal Morris Band ,1
420590,@tommcfly aww  were u playing tonite??,0
864412,"@barneygale C4 didn't treat me well at all  I've got a few neat things up and running mainly appearance enhancements also iHalo, Macman XD",0
164145,Wants to go to the gym but having a headache now  blah.,0
133125,"@KidSisterMelisa we thought we saw you watching qtip @ the HOB in chicago, alas, we did not ",0
199898,@JulzM noice. a slightly delayed anniversary pressie eh? no vino for @coliwilso this week. workings ,0
927282,@hillary2936 you'll crush that exam. No worries love ,1
1034537,@at1mp Thanks! My MacBook owner friends swear I will love it even 5 years from now.  I'm excited!,1
1510041,"twitter, you're still the best! facebk is complicated... ",0
1570856,@wengcieweng I'm back...sort of. Preparing my chicken satay baon ,1
1534861,Just waking up to a rainy day.... ,0
1265824,@Magic899 aw  I didn't catch the interview... how was David A.?,0
537706,is going to go get a haircut in a bit ,1
924356,Laying in bed... Waiting for some medicane ,0
183959,@alteridem If you stay in insurance you will most assuredly stay up nights worrying about SOMETHING! ,0
335350,@youwatchme Hahahaha I'm sorry! I honestly couldn't help it. Now you're making me feel bad! Haha. How did you not notice &amp; I did? ,0
41735,@Biancaaaaaaa okay text me tonight! b/c i lost yours ,0
422492,"I so don't wanna go outside, I don't have anything to do there  Maybe I will write later...",0
892492,Just sent major KitchenAid shipment out... Bonus twitter blenders are on their way! ,1
264251,@SURFislikeaBoss me hair ain't Red its da light its blonde and black!  @jamesissexy Hey Hotty!  @firesty who da other girl?,1
1111953,Ugh on my way to the bus stop 2 go 2 wrk !  nt cute can't wait to drink sum beer later !,0
39213,Its warm ,0
645090,@superherojamie im listening to ive had the time of my life  i downloaded just now because i just realised i needed for my sound sources,1
776098,I finally finished photos for wedding card - D200 rulez! ,1
667909,It's sunny and I'm meeting a good friend for lunch later ,1
426379,"@victoriaaa_ those jeans are cool though. wear robyn's leather jacket, its absolutely ace! the screen for my phone is coming off ",0
27836,what do i do? 2 of my best friends are sad because of me. and i didn't mean to hurt or anything them. that makes me down. ,0
1238855,"@brianzimmel yes, I believe it is  I forgot we lived in Albany and not Syracuse  ",0
187837,@kpulla  I am seriously like passing out this damn red bull isnt doing much. ,0
834506,"I've got to go out and help a m8 move his 8ft by 8ft shed now,so chat l8rs peeps ",1
1594080,In the hands of the police and the Lord now. Have to let it go coz I don't think she'll come back ,0
20606,RIP Desiree ,0
975562,@trishathefisha me too ,0
1284832,@TereNY  go dye eggs and stop tweeting,0
1073481,omg glasses malone video is on shhhhh everyone  I &lt;3 GLASSES MALONE...im goin crazy over here cant breath lol,1
183319,Out to dinner with my friends .... Having a great time !!!!  woo hooo,1
81035,Watching tht cavs vs magic game   http://twitpic.com/6b2su,1
109534,off to the beach - another picnic - Golden Gate Park - check facebook for pic later ,1
12766,I can't work twitter I can't even upload a bloody picture   gutted,0
1159554,Ughh I really don't wanna go out of bed   feeling ill.,0
52496,If only the new hp touchsmart was made by apple ,0
301446,Heading to Portland (Oregon) for a few days for a little R&amp;R and fun with the kids!  So this is my last tweet for awhile.  ,0
47639,"Discovered how to add LEO, XING, FACEBOOK Customized search to Internet Explorer 7. Took me 4 approaches. Software is that easy ",0
449199,@McGiff awww poor you!! I SO know what that's like! ,0
1387934,Can't sleep. Damn insomnia. ,0
505568,feels really ill  which is annoying man,0
1265810,"@weeemo Yays, I can't wait ",1
663344,wants to meet all of my old friend  but i can't . :&quot;(,0
794235,"has tried and tried to put my picture on here, but nothing is a small enough file ",0
1466091,It's so wrong to be in work on a Sunday ,0
1434287,@xjam13x LOL. Wow. That's good.  Haha I still can't believe it's mother's day.,1
159662,Grrr!!  I've been online all afternoon!  Accomplished practically nothing ,0
745658,im getting my new phone today ,1
1021749,@mmitchelldaviss GO OUTSIDE! lindseys waiting for you ,1
37722,"Vet called for Shakti's appointment.  Still no sign of her, so I'm starting to be resigned that she's gone. Swearing off cats for a bit.",0
1267661,Is in my car outside off work ,0
326393,@MOLLYQERIM_ESPN HEY MOLLY. THE ANSWER IS A BABY LAUGH FOR THE SOUND EFFECT  YAY!!!,1
1549448,baby just woke up but I did get time enough to have a shower and a good cup of coffee  having a day at home and then jacuzzi tonight!,1
194872,Good morning Tweeple! Had a terrific WE! I really wish there were a law forcing companies 2 give out a 3 days WE instead of just 2  booh!,0
842084,"@MLDina Too bad I'm in Bangkok, Thailand. My flights would take longer than a the time I would get to explore ",0
345512,@Rebecca8888 how is taxis &amp;kinesis commn sense???? :S i tots forgt bwt thattill i read it js thn!  &amp;lol im nt touchin othr biol mods nw ..,0
1471239,@GiulianaRancic I�m also watching a movie with friends (twilight) ,1
1317257,"I wanted kate to win, not yasmina! hmmm i'm bored , need to think of soemthing to do ",1
1219721,"@TheDannyNoriega Morning Danny, love. ",1
1592092,"Oh wait, that's not the point. The point is... What if I don't get the CDS I want? ",0
1212252,@TheRealAmber @notmoira @georgiacrafter Morning! Hope your new week &amp; month get off to a good start! ,1
1449177,Can't find the bag that matches her clothes for tdy  Have to leave the house in 10.,0
968287,@davidhoang You're like a block from me.  But I hear the tea sipping is almost over. ,0
385511,Im weak..i wish he would show up for a little bit. Im hurt and omg..5 min is all i asked for  i swear im fucked. Please omfg,0
419717,@KRYSSIBABY really awww  LOL,0
1028415,i wanna pinkberry!! ,0
520899,"Ok, change of plan, the hair is not gettin done yet. The wizard sent me back to OZ and said come back at 2. Ugh. Rat bastard! ",0
622217,Someone get me from work tonight ,0
851722,just went shoppin for some groceries .. cleaning up &amp; more homework. boo rainy days  it was so pretty earlier,0
715257,"I need either a new phone with all the cool crap on it, or a good digital camera.... ",0
1041401,"Twitter, i've never gotten a build-a-bear  someone take me!",0
357775,SERIOUS phone issues over the past 3days. May be Twitter M.I.A. for most of the day. ,0
1254797,@panteramack We retards luv you too Becki ,1
1529649,@RachelFresh thanks anyways  I'm sure she'll be able to sell them there,1
1467995,What? I was not expecting to find Viviana here! ,1
1588730,"@sammi_jade Ohh sonds fam luv! I'm sooo borde, Just sittin at home watchin telly - my best mate is out of town right now  what u get then?",0
626921,daft punk just came on the radio at work! ,1
1362065,finally home. conan and bed. ,1
1594641,"@JCFGD Yeah, I don't get it.  He stopped responding to my school-related emails a while ago too, looked distracted at my STP... *crushed*",0
1211751,ate too much today  going to run for an hour while watching hana kimi.,0
877104,Has a sore throat! ,0
306239,"@sladey66 Hi, you. ",1
50165,@coldplay what's that? A NEW SONG?! ,1
1340381,@ashleezy3189 what?! lo siento  hopefully i'm not one of those people,0
936438,@mrcelebrity I'm laying on the floor listening to backstabber ,1
700586,Earthquake in Cali ,0
503228,today is going to be a long day ,0
749439,It's not the SH.. I can't connect on my blackberry either.  #googlewtf @futuristicplans @3ba,0
302234,@MichelleIvy i know  sorry chelle. btw: i'm jealous of all your vacas!!!,0
172809,I'm sorry  i'll stop living there,0
907203,"what to do, nothing to do. the wheather needs to be better ",0
1050090,Gonna attend Kiruba Shankar's talk tomorrow on 'Working with Bloggers &amp; New Media' . http://is.gd/10s3l ... Cant wait!!!!! ,1
505554,@Javita_ You're seeing the lads in october? ,1
190461,I can't believe today is fathers day! It's the first one we will have to go through without Armstrong here ,0
1454993,"Today I'm *all* about #Cloudforce '09. If you're here too, please get in touch to meet up  - http://bkite.com/06fD3 (via @danwtmoon)",1
1190875,i turned kats lava lamp on. its mesmerising  and pink. which is always a plus. the silver glitter in it is the added bonus ,1
500342,"Ready for sun and warmth!! ... working till 3 then, who knows! ",1
1418103,@Dannymcfly danny i only have one follower cause i don't let anyone follow me cause they laugh at me for tweeting you haha follow me?  xx,1
327414,@niecee47 whatever it is girl go for it ,1
288526,"@youcantbeme I'm missing Joshua, and the sun ",0
769678,"@storagebod rofl I'm loving that, also my personal fave when stressed &quot;Just STFU and do your work&quot; ",1
532836,Writing/refining lyrics with Australia Jenna. ,1
1338801,see what @hatemileycyrus said to miley ,0
1493432,#iphone suck  and i only say this cause i dont have one ..lol,0
1598394,"@sorcha69 i no, it accturly is  which aint good ",0
1190885,@ickydoodles hell yeah  and you always need to pee. wtf HAHA,1
112697,Gummi bears ,1
572606,"@PRPeta I agree with your line of reasoning, but I think she already has a business and should let Kate have the opportunity. ",1
631741,@KacieBall Sorry you dont actually know me but jlsofficial is the best!!!  They are doing a tour in february!! ,1
1217697,i'm not in the mood of twittering ,0
1027273,Whoohoo - TV has arrived. I'm not allowed to set it up on my own   but I do get to assemble the stand!,0
1445404,Hi ya twitt's..so leaving sat morning here in TX..sad  I guess gotta really find a job now..if anyone in Atlanta needs a great designer..,0
1246145,On my way home now ,0
1072388,"on Wen-sday iam going 2 go out and shop for makeup. and next week, ill start making makeup tutorials ",1
1040445,@justincavazos hiii justeeeeen. How's yer day &amp;shiiii? ,1
1503737,"Straight back into it at work, no mucking around ",0
511332,Ended up not getting the car. ,0
611914,"spending evening making myself an amazing feast of butter 'chicken' (tofu), chana masala &amp; samosas. just wish i had someone to share with ",0
738727,happy mother's day!  @lockielee @jenvarner73 @mommymoser @nonnie21751 @leahface,1
641014,just got in from the rain.. thinking of going out again ,1
1257526,"just watched LOST, can't wait until april 30th to watch the next episode ",1
14730,@Suksy who sent u such a mail buddy??? ,1
50452,Playing with rootsh and central logging ,1
491781, i don't feel good. I want some partyrings &amp;&amp; starbucks,0
861971,@muchmusic could you try one more time  give away one more pair of wristbands PLEASEEEEEE,0
922905,I was hoping for balloons... ,1
190655,"is logging off for today, killer migraine not gone yet ",0
980600,Just woke up and my head is pounding! ,0
1528767,"never mind, im not gonna post another pic. too lazy and i just wanna relax and read my book. byess, unless kellan lutz is on!  haha",1
220158,@mariaandros I'm grateful for having the flexibilty to volunteer for Olympic Game day at my girls' school today. My 2nd grader rocks ,1
770546,ahh im lost  someone come find me?,0
1585994,"@ice_ziggee rock on  You should ask if she's about on here somewhere, but I don't think I know. ",1
579237,"@DubarryMcFly i like a few: diversty, flawless, aidan.  xxx",1
936357,"@johnlesandiego that's now 1350 people just in the flickr group, wanting to join in. dunno why but it's taken off in the last 2 hours ",1
1441924,I wish Jennifer would vome to church again. I havent seen her since the concert in 2007 ,0
87823,the right click on my mouse is borked ,0
1517717,I really have a strange craving for mint chocolate chip...either that or romance. I wish i had a love life ,0
781006,i'm finally going paint again ,1
38332,"Rain, not good ",0
1100530,@SmoovezWorld yep  lol,0
1023066,No plans tonight so I think I might head to the gym.  I'm actually happy about this.,1
649201,@4u2wear2 got it. Thanks for contributing ,1
271184,why i can't fly with him (?  ?,0
1188538,iight honey twitters... I am out for a walk with my crazy dog lol twitt ya all later  xXx I want some sun.. pleazze ,1
913995,is fucking pissed I can't talk to my babies! ,0
500221,today was great  so wonderful weather outside. but my skin is a bit red :| i love you  @annex33 @nicolex33 @haubii ♥,1
695152,I can only reply to someone if I type their @ name in the update box.   It was ok yesterday.,0
893954,@EricaRattana I love Weeds!!!! But I don't have Showtime nemore ,0
669074,"Did my first 3 mile walk for the day,but as a special treat I pushed Grace in the buggy,I'd forgotten the amount of small hills there are ",0
552559,@dougiemcfly17 i thought you were going to do one of me.......... ,0
1093325,"goood morning everyone! I just woke up, well i feel fine ",1
535860,I'm sooo drained  in the nursery.,0
767329,@mmg565 depends on what you're taking and why ,1
896947,@MissRaydaDiva lmao I told u already u abandoned me when u got a boyfriend  lol,0
1087218,i can't sleep &amp; i miss my babe ,0
715016,"I can't believe my friends dragged me to joes crab shack. (via @WeGame) Ooooh, I think I'll need to unfollow you ",1
655432,in so so so much pain  watcahing a moviee with my mom then bedd prayy for me,0
864676,has no followers yet.  I want to go to North Carolina though! ,0
104948,Cheer up A cup ,1
1556595,Eating tempura (junk food). ,1
39090,I need NEW people to follow. Everyone give me some suggestions to wake up to and I'll follow! ...gnite ,1
1519909,@dotmanish nice one ,1
1355083,@CarolanneKayy i know  but just bc he was a jerk doesnt mean that the next person will be! like the cute boy i met at nmu (: mmmm haha,0
1558220,Missing out on Blow-Up at the Cinematheque to hang with my bro. ,0
703484,"Yeah so physio was crap, still about a month away from any form of real physical activity. Couldnt even sit and straignthen my leg ",0
1203511,@jodisey ... cum on line! ,0
332051,@KimSherrell change your avatar too... we have to see it ,1
1477158,I tried calling my dad and he didnt answer ,0
152495,Fun fun fun these last two days ,1
1529173,"@connor_finley They have beaches in Texas? Well, yes now that I think about it, there is a coastal area to Texas too... it's not all sand ",1
224599,Correct link  http://www.tinyurl.com/qminute,1
1451687,"@Shitfuckdamn *hug* welcome to real life, mamut.  ",0
1487000,@MelFresh27 Ur are the best yo. She &amp; I also share 1 male tweetmat. She likes him I think. He' never on her #ff. Just me. Competition!! ,0
384174,@pyIT Tankyou ,1
319930,i &lt;3 milk thats been shaken in ice on my kellogs flakes ,1
678566,"Sleep is not something to take advantage of, I have to walk to school ",0
1484652,"@robertDouglass as long as we still support MyISAM, no  #MySQL #fail.",0
802421,@platinumkids I got u mi Don !!!  U son leave also.  y r u guys doing this to me smh,0
448642,Boy time flies! Back on twitter and still 2 followers ,0
281495,@StickTree16 est�pida do you even know what it stands for now? and ah dunno I may do carrie underwood - just a dream. YouTube it ,1
748361,@donnapatjc Business is going very well indeed!!  CreationCentre is available for resellers and people are knocking the door down-AWESOME!,1
441473,@dammnxmegan i don't understand it either..im also jealouss ,0
559390,@ShelLovesCheese like FOREVER?! You're leaving us here  in NK land? ,0
1466043,@featureBlend Anytime Ahad  how are you doing today?,1
1595681,@stackedgroup oh yesh you did haha anyways i hear your feeling sick  (i am nearly better),0
102404,Off to Bali!! ,1
802282,@Taddy69 not a fan myself; makes everything soggy ,0
1216920,Exhausted. ,0
1265954,@vincentx24x nope same thing for me. Popular sizes dude  Noone wants to get rid of them. We should go to flightclub nyc or a dunk exchange,0
1443441,@Jon4Lakers link's not working ,0
1581330,http://bit.ly/bHyt8  Salieri and the Priest ,1
653090,watching the tinkerbell movie  i feel gayyyyy,0
201872,@fragthought lol. Yummy.... ,1
374728,Off to London today ,0
622230,@EnvyAmor awesome. July 5th. Save the date  I'm so excited. Xoxo,1
1060782,i really want @ddlovato 's people to email me back. cause being in her music video would make my life ,1
1506862,"Good morning, guys! ",1
864850,"@jasmineemui, why are yu not on dailybooth  ?",0
358434,thinks the ms-walk was fantastic ,1
711738,(@wow_its_parris) ahaha let me high five your ass please  Going to Bed.,1
1271842,@papa_face  I'm bad juju for you ,0
665471,@natalieann_mk ahhh but the unhealthy players need that ranch. or else veggies dont taste good! ,0
1385297,"@Mstermind1 So, so sorry that I didn't get to meet you at BEA!  I missed your signing and couldn't find you at the panel. ",0
1567065,"Amazing night at tommys. Fun with the girls, and my guy  goodnite",1
1341055,"Dreamt pretty lady was sitting in my lap. Warmest I've been all winter! Woke up, no pretty lady, cold now. ",0
1470011,@kindanice whatttt? Quit? Why is this the first time I'm hearing about this. ,0
170260,@LiverpoolDan Cook salmon with a nice mixed salad and maybe some jersey royals with herbs. Nice and light for summer nights! ,1
357314,Ughh school tomorrow!! Well  GoodNight Twitters ,1
